part_id,part_name,location,quantity_available,status,quality_hold_reason
P300,S1 V1 500W Brushless Motor,WH1,158,Active,
P301,S1 V1 Li-Ion 36V 10Ah Battery Pack,WH2,173,Active,
P302,S1 V1 Analog Controller ZX,WH2,257,Active,
P303,S1 V1 Aluminum Frame,WH1,289,Active,
P304,S1 V2 750W Brushless Motor,WH3,108,Active,
P305,S1 V2 Li-Po 48V 12Ah Battery Pack,WH3,24,Active,
P306,S1 V2 Digital Controller ZP,WH3,42,Active,
P307,S1 V2 Carbon Fiber Frame,WH2,32,Active,
P308,S2 V1 500W Brushless Motor,WH1,20,Active,
P309,S2 V1 Li-Ion 36V 10Ah Battery Pack,WH2,160,Active,
P310,S2 V1 Analog Controller ZX,WH2,167,Active,
P311,S2 V1 Aluminum Frame,WH3,107,Active,
P312,S2 V2 750W Brushless Motor,WH3,144,Active,
P313,S2 V2 Li-Po 48V 12Ah Battery Pack,WH3,193,Active,
P314,S2 V2 Digital Controller ZP,WH3,197,Active,
P315,S2 V2 Carbon Fiber Frame,WH2,83,Active,
P316,S3 V1 500W Brushless Motor,WH3,57,Active,
P317,S3 V1 Li-Ion 36V 10Ah Battery Pack,WH1,272,Active,
P318,S3 V1 Analog Controller ZX,WH2,217,Active,
P319,S3 V1 Aluminum Frame,WH1,136,Active,
P320,S3 V2 750W Brushless Motor,WH2,159,Active,
P321,S3 V2 Li-Po 48V 12Ah Battery Pack,WH3,139,Active,
P322,S3 V2 Digital Controller ZP,WH1,176,Active,
P323,S3 V2 Carbon Fiber Frame,WH1,59,Active,
P324,LCD Dashboard Display,WH1,44,Active,
P325,10-inch Alloy Wheel,WH2,59,Active,
P326,Mechanical Disc Brake,WH1,233,Active,
P327,Standard LED Headlight,WH2,242,Active,
P328,Standard Charger 42V,WH3,226,Active,
P329,OLED Dashboard Display,WH3,54,Active,
P330,12-inch Alloy Wheel,WH3,26,Active,
P331,Hydraulic Disc Brake,WH1,45,Active,
P332,Advanced LED Headlight with DRL,WH3,20,Active,
P333,Fast Charger 42V 2A,WH2,128,Active,
P334,Power Cable,WH3,209,Active,
P335,Comfort Seat,WH1,283,Active,
P336,Rear Fender,WH3,104,Active,
P337,Hex Nut,WH1,229,Active,
P338,Lock Washer,WH1,31,Active,
